formula,predicted_bandgap,target_bandgap,error,fitness,stability_score,elements,compositions
P1In1S4,2.495585918,2.5,0.004414082,17.20546532,1,"S,In,P","{'S': np.float64(0.10721376014736592), 'In': np.float64(0.38359667016616855), 'P': np.float64(0.5091895696864654)}"
Ga1AsS3,2.49423337,2.5,0.00576663,16.96200657,1,"S,As,Ga","{'S': np.float64(0.19990163661136123), 'As': np.float64(0.31725335830087326), 'Ga': np.float64(0.48284500508776557)}"
O1B1P2,2.497917891,2.5,0.002082109,16.74395928,0.9,"B,O,P","{'B': np.float64(0.3866432243599224), 'O': np.float64(0.38901006683687644), 'P': np.float64(0.22434670880320123)}"
Se1STe3O3,2.500582695,2.5,0.000582695,15.9067688,1,"S,Te,O,Se","{'S': np.float64(0.2942617906591264), 'Te': np.float64(0.1608874434114655), 'O': np.float64(0.15142251416661356), 'Se': np.float64(0.3934282517627945)}"
S1SiP2,2.502303123,2.5,0.002303123,15.826894,0.8,"S,Si,P","{'S': np.float64(0.49316340789620966), 'Si': np.float64(0.30102395412460203), 'P': np.float64(0.20581263797918833)}"
Si1SP2,2.502303123,2.5,0.002303123,15.826894,0.8,"S,Si,P","{'S': np.float64(0.25667155984096385), 'Si': np.float64(0.5276136768832365), 'P': np.float64(0.21571476327579972)}"
P1O1Ge,2.504139662,2.5,0.004139662,15.52937479,0.8,"P,O,Ge","{'P': np.float64(0.37264076636440735), 'O': np.float64(0.3517444054834952), 'Ge': np.float64(0.2756148281520974)}"
Te1OGa,2.489246607,2.5,0.010753393,15.26116977,0.9,"O,Ga,Te","{'O': np.float64(0.3220821947159623), 'Ga': np.float64(0.30505621318959336), 'Te': np.float64(0.37286159209444436)}"
As1Ga1S3,2.49423337,2.5,0.00576663,15.07733917,1,"Se,S,Ga,As","{'Se': np.float64(0.0761637070399621), 'S': np.float64(0.18631173170188475), 'Ga': np.float64(0.3374206903086816), 'As': np.float64(0.4001038709494714)}"
O1Ga1Te,2.489246607,2.5,0.010753393,14.27945709,1,"Ga,Te,S,O","{'Ga': np.float64(0.33766876550180863), 'Te': np.float64(0.2928422979915257), 'S': np.float64(0.007569017903472137), 'O': np.float64(0.3619199186031936)}"
Sb2S3,1.794251204,1.8,0.005748796,16.96521664,0.8,"Sb,S","{'Sb': np.float64(0.2948659539138765), 'S': np.float64(0.7051340460861235)}"
S1P1Te3Ga4,1.801079392,1.8,0.001079392,15.82729721,1,"Ga,Te,S,P","{'Ga': np.float64(0.10150352109887985), 'Te': np.float64(0.16901430298093773), 'S': np.float64(0.37470785434202813), 'P': np.float64(0.3547743215781543)}"
Li1Mn1,0,0,0,,,,
V1CrB2Ge3,0.756,0.8,0.044,,,,
InGaSe4,1.799,1.8,0.001,,,,
Sr2Zr1S4,3.987,4,0.013,,,,